LA code,Local Authority,Year,Frequency,Walking_%,Cycling_%
E09000001,City of London,2010/11,1x per month,78,30
E09000002,Barking and Dagenham,2010/11,1x per month,60,8
E09000003,Barnet,2010/11,1x per month,65,10
E09000004,Bexley,2010/11,1x per month,65,11
E09000005,Brent,2010/11,1x per month,62,14
E09000006,Bromley,2010/11,1x per month,68,14
E09000007,Camden,2010/11,1x per month,83,20
E09000008,Croydon,2010/11,1x per month,66,15
E09000009,Ealing,2010/11,1x per month,61,15
E09000010,Enfield,2010/11,1x per month,68,13
E09000011,Greenwich,2010/11,1x per month,71,12
E09000012,Hackney,2010/11,1x per month,75,26
E09000013,Hammersmith and Fulham,2010/11,1x per month,74,20
E09000014,Haringey,2010/11,1x per month,72,14
E09000015,Harrow,2010/11,1x per month,60,10
E09000016,Havering,2010/11,1x per month,65,10
E09000017,Hillingdon,2010/11,1x per month,60,8
E09000018,Hounslow,2010/11,1x per month,67,16
E09000019,Islington,2010/11,1x per month,77,19
E09000020,Kensington and Chelsea,2010/11,1x per month,79,20
E09000021,Kingston upon Thames,2010/11,1x per month,69,16
E09000022,Lambeth,2010/11,1x per month,73,22
E09000023,Lewisham,2010/11,1x per month,73,16
E09000024,Merton,2010/11,1x per month,66,18
E09000025,Newham,2010/11,1x per month,64,11
E09000026,Redbridge,2010/11,1x per month,63,11
E09000027,Richmond upon Thames,2010/11,1x per month,80,30
E09000028,Southwark,2010/11,1x per month,75,20
E09000029,Sutton,2010/11,1x per month,74,15
E09000030,Tower Hamlets,2010/11,1x per month,70,16
E09000031,Waltham Forest,2010/11,1x per month,69,14
E09000032,Wandsworth,2010/11,1x per month,82,20
E09000033,Westminster,2010/11,1x per month,78,21
E12000001,North East,2010/11,1x per month,69,13
E12000002,North West,2010/11,1x per month,70,13
E12000003,Yorkshire and the Humber,2010/11,1x per month,71,13
E12000004,East Midlands,2010/11,1x per month,71,15
E12000005,West Midlands,2010/11,1x per month,68,12
E12000006,East of England,2010/11,1x per month,70,17
E12000007,London,2010/11,1x per month,70,16
E12000008,South East,2010/11,1x per month,73,18
E12000009,South West,2010/11,1x per month,74,17
E92000001,ENGLAND,2010/11,1x per month,71,15
E09000001,City of London,2010/11,1x per week,68,30
E09000002,Barking and Dagenham,2010/11,1x per week,47,5
E09000003,Barnet,2010/11,1x per week,50,6
E09000004,Bexley,2010/11,1x per week,48,6
E09000005,Brent,2010/11,1x per week,46,9
E09000006,Bromley,2010/11,1x per week,53,10
E09000007,Camden,2010/11,1x per week,66,16
E09000008,Croydon,2010/11,1x per week,49,8
E09000009,Ealing,2010/11,1x per week,42,10
E09000010,Enfield,2010/11,1x per week,52,9
E09000011,Greenwich,2010/11,1x per week,54,7
E09000012,Hackney,2010/11,1x per week,58,20
E09000013,Hammersmith and Fulham,2010/11,1x per week,60,14
E09000014,Haringey,2010/11,1x per week,54,11
E09000015,Harrow,2010/11,1x per week,42,5
E09000016,Havering,2010/11,1x per week,49,7
E09000017,Hillingdon,2010/11,1x per week,47,4
E09000018,Hounslow,2010/11,1x per week,47,11
E09000019,Islington,2010/11,1x per week,58,13
E09000020,Kensington and Chelsea,2010/11,1x per week,62,11
E09000021,Kingston upon Thames,2010/11,1x per week,55,9
E09000022,Lambeth,2010/11,1x per week,57,18
E09000023,Lewisham,2010/11,1x per week,55,10
E09000024,Merton,2010/11,1x per week,49,15
E09000025,Newham,2010/11,1x per week,46,8
E09000026,Redbridge,2010/11,1x per week,47,7
E09000027,Richmond upon Thames,2010/11,1x per week,57,21
E09000028,Southwark,2010/11,1x per week,57,16
E09000029,Sutton,2010/11,1x per week,59,9
E09000030,Tower Hamlets,2010/11,1x per week,51,11
E09000031,Waltham Forest,2010/11,1x per week,50,8
E09000032,Wandsworth,2010/11,1x per week,67,15
E09000033,Westminster,2010/11,1x per week,60,13
E12000001,North East,2010/11,1x per week,55,8
E12000002,North West,2010/11,1x per week,55,8
E12000003,Yorkshire and the Humber,2010/11,1x per week,57,9
E12000004,East Midlands,2010/11,1x per week,55,9
E12000005,West Midlands,2010/11,1x per week,53,7
E12000006,East of England,2010/11,1x per week,54,11
E12000007,London,2010/11,1x per week,53,11
E12000008,South East,2010/11,1x per week,56,11
E12000009,South West,2010/11,1x per week,58,11
E92000001,ENGLAND,2010/11,1x per week,55,10
E09000001,City of London,2010/11,3x per week,31,29
E09000002,Barking and Dagenham,2010/11,3x per week,28,2
E09000003,Barnet,2010/11,3x per week,24,3
E09000004,Bexley,2010/11,3x per week,27,2
E09000005,Brent,2010/11,3x per week,22,3
E09000006,Bromley,2010/11,3x per week,29,3
E09000007,Camden,2010/11,3x per week,35,7
E09000008,Croydon,2010/11,3x per week,26,4
E09000009,Ealing,2010/11,3x per week,19,6
E09000010,Enfield,2010/11,3x per week,31,4
E09000011,Greenwich,2010/11,3x per week,28,4
E09000012,Hackney,2010/11,3x per week,33,11
E09000013,Hammersmith and Fulham,2010/11,3x per week,34,8
E09000014,Haringey,2010/11,3x per week,28,7
E09000015,Harrow,2010/11,3x per week,21,2
E09000016,Havering,2010/11,3x per week,24,4
E09000017,Hillingdon,2010/11,3x per week,25,2
E09000018,Hounslow,2010/11,3x per week,24,6
E09000019,Islington,2010/11,3x per week,32,7
E09000020,Kensington and Chelsea,2010/11,3x per week,32,5
E09000021,Kingston upon Thames,2010/11,3x per week,26,4
E09000022,Lambeth,2010/11,3x per week,28,10
E09000023,Lewisham,2010/11,3x per week,31,6
E09000024,Merton,2010/11,3x per week,23,7
E09000025,Newham,2010/11,3x per week,27,4
E09000026,Redbridge,2010/11,3x per week,26,3
E09000027,Richmond upon Thames,2010/11,3x per week,33,9
E09000028,Southwark,2010/11,3x per week,28,11
E09000029,Sutton,2010/11,3x per week,26,4
E09000030,Tower Hamlets,2010/11,3x per week,26,7
E09000031,Waltham Forest,2010/11,3x per week,22,3
E09000032,Wandsworth,2010/11,3x per week,32,9
E09000033,Westminster,2010/11,3x per week,32,7
E12000001,North East,2010/11,3x per week,28,3
E12000002,North West,2010/11,3x per week,29,4
E12000003,Yorkshire and the Humber,2010/11,3x per week,30,4
E12000004,East Midlands,2010/11,3x per week,28,4
E12000005,West Midlands,2010/11,3x per week,28,3
E12000006,East of England,2010/11,3x per week,28,6
E12000007,London,2010/11,3x per week,27,5
E12000008,South East,2010/11,3x per week,29,5
E12000009,South West,2010/11,3x per week,31,5
E92000001,ENGLAND,2010/11,3x per week,29,4
E09000001,City of London,2010/11,5x per week,31,18
E09000002,Barking and Dagenham,2010/11,5x per week,21,1
E09000003,Barnet,2010/11,5x per week,19,1
E09000004,Bexley,2010/11,5x per week,21,2
E09000005,Brent,2010/11,5x per week,15,2
E09000006,Bromley,2010/11,5x per week,22,1
E09000007,Camden,2010/11,5x per week,28,5
E09000008,Croydon,2010/11,5x per week,20,3
E09000009,Ealing,2010/11,5x per week,14,3
E09000010,Enfield,2010/11,5x per week,23,2
E09000011,Greenwich,2010/11,5x per week,22,2
E09000012,Hackney,2010/11,5x per week,23,8
E09000013,Hammersmith and Fulham,2010/11,5x per week,27,7
E09000014,Haringey,2010/11,5x per week,19,3
E09000015,Harrow,2010/11,5x per week,14,2
E09000016,Havering,2010/11,5x per week,19,1
E09000017,Hillingdon,2010/11,5x per week,18,1
E09000018,Hounslow,2010/11,5x per week,18,4
E09000019,Islington,2010/11,5x per week,24,3
E09000020,Kensington and Chelsea,2010/11,5x per week,23,4
E09000021,Kingston upon Thames,2010/11,5x per week,18,2
E09000022,Lambeth,2010/11,5x per week,19,7
E09000023,Lewisham,2010/11,5x per week,25,4
E09000024,Merton,2010/11,5x per week,17,4
E09000025,Newham,2010/11,5x per week,21,3
E09000026,Redbridge,2010/11,5x per week,17,2
E09000027,Richmond upon Thames,2010/11,5x per week,24,6
E09000028,Southwark,2010/11,5x per week,19,6
E09000029,Sutton,2010/11,5x per week,19,4
E09000030,Tower Hamlets,2010/11,5x per week,20,5
E09000031,Waltham Forest,2010/11,5x per week,16,2
E09000032,Wandsworth,2010/11,5x per week,23,6
E09000033,Westminster,2010/11,5x per week,25,5
E12000001,North East,2010/11,5x per week,21,2
E12000002,North West,2010/11,5x per week,21,2
E12000003,Yorkshire and the Humber,2010/11,5x per week,21,2
E12000004,East Midlands,2010/11,5x per week,21,2
E12000005,West Midlands,2010/11,5x per week,20,2
E12000006,East of England,2010/11,5x per week,21,4
E12000007,London,2010/11,5x per week,20,3
E12000008,South East,2010/11,5x per week,21,3
E12000009,South West,2010/11,5x per week,22,4
E92000001,ENGLAND,2010/11,5x per week,21,3
E09000001,City of London,2011/12,1x per month,78,18
E09000002,Barking and Dagenham,2011/12,1x per month,60,9
E09000003,Barnet,2011/12,1x per month,65,9
E09000004,Bexley,2011/12,1x per month,65,10
E09000005,Brent,2011/12,1x per month,62,10
E09000006,Bromley,2011/12,1x per month,68,14
E09000007,Camden,2011/12,1x per month,83,18
E09000008,Croydon,2011/12,1x per month,66,8
E09000009,Ealing,2011/12,1x per month,61,14
E09000010,Enfield,2011/12,1x per month,68,8
E09000011,Greenwich,2011/12,1x per month,71,14
E09000012,Hackney,2011/12,1x per month,75,22
E09000013,Hammersmith and Fulham,2011/12,1x per month,74,20
E09000014,Haringey,2011/12,1x per month,72,16
E09000015,Harrow,2011/12,1x per month,60,8
E09000016,Havering,2011/12,1x per month,65,15
E09000017,Hillingdon,2011/12,1x per month,60,10
E09000018,Hounslow,2011/12,1x per month,67,19
E09000019,Islington,2011/12,1x per month,77,24
E09000020,Kensington and Chelsea,2011/12,1x per month,79,17
E09000021,Kingston upon Thames,2011/12,1x per month,69,17
E09000022,Lambeth,2011/12,1x per month,73,25
E09000023,Lewisham,2011/12,1x per month,73,13
E09000024,Merton,2011/12,1x per month,66,16
E09000025,Newham,2011/12,1x per month,64,11
E09000026,Redbridge,2011/12,1x per month,63,6
E09000027,Richmond upon Thames,2011/12,1x per month,80,31
E09000028,Southwark,2011/12,1x per month,75,22
E09000029,Sutton,2011/12,1x per month,74,13
E09000030,Tower Hamlets,2011/12,1x per month,70,15
E09000031,Waltham Forest,2011/12,1x per month,69,11
E09000032,Wandsworth,2011/12,1x per month,82,20
E09000033,Westminster,2011/12,1x per month,78,17
E12000001,North East,2011/12,1x per month,69,13
E12000002,North West,2011/12,1x per month,70,13
E12000003,Yorkshire and the Humber,2011/12,1x per month,71,14
E12000004,East Midlands,2011/12,1x per month,71,15
E12000005,West Midlands,2011/12,1x per month,68,12
E12000006,East of England,2011/12,1x per month,70,19
E12000007,London,2011/12,1x per month,70,15
E12000008,South East,2011/12,1x per month,73,18
E12000009,South West,2011/12,1x per month,74,18
E92000001,ENGLAND,2011/12,1x per month,71,15
E09000001,City of London,2011/12,1x per week,68,16
E09000002,Barking and Dagenham,2011/12,1x per week,47,7
E09000003,Barnet,2011/12,1x per week,50,5
E09000004,Bexley,2011/12,1x per week,48,7
E09000005,Brent,2011/12,1x per week,46,7
E09000006,Bromley,2011/12,1x per week,53,7
E09000007,Camden,2011/12,1x per week,66,12
E09000008,Croydon,2011/12,1x per week,49,6
E09000009,Ealing,2011/12,1x per week,42,8
E09000010,Enfield,2011/12,1x per week,52,4
E09000011,Greenwich,2011/12,1x per week,54,7
E09000012,Hackney,2011/12,1x per week,58,17
E09000013,Hammersmith and Fulham,2011/12,1x per week,60,15
E09000014,Haringey,2011/12,1x per week,54,12
E09000015,Harrow,2011/12,1x per week,42,5
E09000016,Havering,2011/12,1x per week,49,10
E09000017,Hillingdon,2011/12,1x per week,47,7
E09000018,Hounslow,2011/12,1x per week,47,13
E09000019,Islington,2011/12,1x per week,58,14
E09000020,Kensington and Chelsea,2011/12,1x per week,62,11
E09000021,Kingston upon Thames,2011/12,1x per week,55,12
E09000022,Lambeth,2011/12,1x per week,57,18
E09000023,Lewisham,2011/12,1x per week,55,10
E09000024,Merton,2011/12,1x per week,49,10
E09000025,Newham,2011/12,1x per week,46,6
E09000026,Redbridge,2011/12,1x per week,47,4
E09000027,Richmond upon Thames,2011/12,1x per week,57,19
E09000028,Southwark,2011/12,1x per week,57,15
E09000029,Sutton,2011/12,1x per week,59,7
E09000030,Tower Hamlets,2011/12,1x per week,51,9
E09000031,Waltham Forest,2011/12,1x per week,50,6
E09000032,Wandsworth,2011/12,1x per week,67,15
E09000033,Westminster,2011/12,1x per week,60,13
E12000001,North East,2011/12,1x per week,55,8
E12000002,North West,2011/12,1x per week,55,8
E12000003,Yorkshire and the Humber,2011/12,1x per week,57,9
E12000004,East Midlands,2011/12,1x per week,55,10
E12000005,West Midlands,2011/12,1x per week,53,8
E12000006,East of England,2011/12,1x per week,54,12
E12000007,London,2011/12,1x per week,53,10
E12000008,South East,2011/12,1x per week,56,11
E12000009,South West,2011/12,1x per week,58,11
E92000001,ENGLAND,2011/12,1x per week,55,10
E09000001,City of London,2011/12,3x per week,31,10
E09000002,Barking and Dagenham,2011/12,3x per week,28,3
E09000003,Barnet,2011/12,3x per week,24,1
E09000004,Bexley,2011/12,3x per week,27,2
E09000005,Brent,2011/12,3x per week,22,4
E09000006,Bromley,2011/12,3x per week,29,3
E09000007,Camden,2011/12,3x per week,35,6
E09000008,Croydon,2011/12,3x per week,26,2
E09000009,Ealing,2011/12,3x per week,19,4
E09000010,Enfield,2011/12,3x per week,31,1
E09000011,Greenwich,2011/12,3x per week,28,3
E09000012,Hackney,2011/12,3x per week,33,11
E09000013,Hammersmith and Fulham,2011/12,3x per week,34,9
E09000014,Haringey,2011/12,3x per week,28,6
E09000015,Harrow,2011/12,3x per week,21,2
E09000016,Havering,2011/12,3x per week,24,5
E09000017,Hillingdon,2011/12,3x per week,25,4
E09000018,Hounslow,2011/12,3x per week,24,8
E09000019,Islington,2011/12,3x per week,32,8
E09000020,Kensington and Chelsea,2011/12,3x per week,32,6
E09000021,Kingston upon Thames,2011/12,3x per week,26,5
E09000022,Lambeth,2011/12,3x per week,28,11
E09000023,Lewisham,2011/12,3x per week,31,5
E09000024,Merton,2011/12,3x per week,23,6
E09000025,Newham,2011/12,3x per week,27,3
E09000026,Redbridge,2011/12,3x per week,26,2
E09000027,Richmond upon Thames,2011/12,3x per week,33,10
E09000028,Southwark,2011/12,3x per week,28,10
E09000029,Sutton,2011/12,3x per week,26,4
E09000030,Tower Hamlets,2011/12,3x per week,26,4
E09000031,Waltham Forest,2011/12,3x per week,22,3
E09000032,Wandsworth,2011/12,3x per week,32,9
E09000033,Westminster,2011/12,3x per week,32,8
E12000001,North East,2011/12,3x per week,28,3
E12000002,North West,2011/12,3x per week,29,4
E12000003,Yorkshire and the Humber,2011/12,3x per week,30,4
E12000004,East Midlands,2011/12,3x per week,28,4
E12000005,West Midlands,2011/12,3x per week,28,3
E12000006,East of England,2011/12,3x per week,28,6
E12000007,London,2011/12,3x per week,27,5
E12000008,South East,2011/12,3x per week,29,5
E12000009,South West,2011/12,3x per week,31,5
E92000001,ENGLAND,2011/12,3x per week,29,5
E09000001,City of London,2011/12,5x per week,31,3
E09000002,Barking and Dagenham,2011/12,5x per week,21,3
E09000003,Barnet,2011/12,5x per week,19,1
E09000004,Bexley,2011/12,5x per week,21,2
E09000005,Brent,2011/12,5x per week,15,2
E09000006,Bromley,2011/12,5x per week,22,2
E09000007,Camden,2011/12,5x per week,28,5
E09000008,Croydon,2011/12,5x per week,20,1
E09000009,Ealing,2011/12,5x per week,14,2
E09000010,Enfield,2011/12,5x per week,23,1
E09000011,Greenwich,2011/12,5x per week,22,2
E09000012,Hackney,2011/12,5x per week,23,9
E09000013,Hammersmith and Fulham,2011/12,5x per week,27,6
E09000014,Haringey,2011/12,5x per week,19,3
E09000015,Harrow,2011/12,5x per week,14,2
E09000016,Havering,2011/12,5x per week,19,4
E09000017,Hillingdon,2011/12,5x per week,18,3
E09000018,Hounslow,2011/12,5x per week,18,7
E09000019,Islington,2011/12,5x per week,24,5
E09000020,Kensington and Chelsea,2011/12,5x per week,23,3
E09000021,Kingston upon Thames,2011/12,5x per week,18,2
E09000022,Lambeth,2011/12,5x per week,19,7
E09000023,Lewisham,2011/12,5x per week,25,3
E09000024,Merton,2011/12,5x per week,17,3
E09000025,Newham,2011/12,5x per week,21,2
E09000026,Redbridge,2011/12,5x per week,17,-
E09000027,Richmond upon Thames,2011/12,5x per week,24,7
E09000028,Southwark,2011/12,5x per week,19,7
E09000029,Sutton,2011/12,5x per week,19,3
E09000030,Tower Hamlets,2011/12,5x per week,20,3
E09000031,Waltham Forest,2011/12,5x per week,16,1
E09000032,Wandsworth,2011/12,5x per week,23,5
E09000033,Westminster,2011/12,5x per week,25,6
E12000001,North East,2011/12,5x per week,21,2
E12000002,North West,2011/12,5x per week,21,2
E12000003,Yorkshire and the Humber,2011/12,5x per week,21,2
E12000004,East Midlands,2011/12,5x per week,21,3
E12000005,West Midlands,2011/12,5x per week,20,2
E12000006,East of England,2011/12,5x per week,21,4
E12000007,London,2011/12,5x per week,20,3
E12000008,South East,2011/12,5x per week,21,3
E12000009,South West,2011/12,5x per week,22,3
E92000001,ENGLAND,2011/12,5x per week,21,3
E09000001,City of London,2012/13,1x per month,87,11
E09000002,Barking and Dagenham,2012/13,1x per month,85,9
E09000003,Barnet,2012/13,1x per month,88,10
E09000004,Bexley,2012/13,1x per month,83,8
E09000005,Brent,2012/13,1x per month,85,12
E09000006,Bromley,2012/13,1x per month,90,12
E09000007,Camden,2012/13,1x per month,94,16
E09000008,Croydon,2012/13,1x per month,88,12
E09000009,Ealing,2012/13,1x per month,86,16
E09000010,Enfield,2012/13,1x per month,82,9
E09000011,Greenwich,2012/13,1x per month,87,11
E09000012,Hackney,2012/13,1x per month,89,22
E09000013,Hammersmith and Fulham,2012/13,1x per month,91,24
E09000014,Haringey,2012/13,1x per month,91,16
E09000015,Harrow,2012/13,1x per month,88,7
E09000016,Havering,2012/13,1x per month,85,10
E09000017,Hillingdon,2012/13,1x per month,87,15
E09000018,Hounslow,2012/13,1x per month,88,14
E09000019,Islington,2012/13,1x per month,93,20
E09000020,Kensington and Chelsea,2012/13,1x per month,93,15
E09000021,Kingston upon Thames,2012/13,1x per month,90,22
E09000022,Lambeth,2012/13,1x per month,89,19
E09000023,Lewisham,2012/13,1x per month,87,13
E09000024,Merton,2012/13,1x per month,90,15
E09000025,Newham,2012/13,1x per month,82,6
E09000026,Redbridge,2012/13,1x per month,86,10
E09000027,Richmond upon Thames,2012/13,1x per month,94,34
E09000028,Southwark,2012/13,1x per month,92,21
E09000029,Sutton,2012/13,1x per month,87,10
E09000030,Tower Hamlets,2012/13,1x per month,92,17
E09000031,Waltham Forest,2012/13,1x per month,84,16
E09000032,Wandsworth,2012/13,1x per month,93,22
E09000033,Westminster,2012/13,1x per month,91,18
E12000001,North East,2012/13,1x per month,84,12
E12000002,North West,2012/13,1x per month,85,13
E12000003,Yorkshire and the Humber,2012/13,1x per month,86,14
E12000004,East Midlands,2012/13,1x per month,86,15
E12000005,West Midlands,2012/13,1x per month,85,12
E12000006,East of England,2012/13,1x per month,86,17
E12000007,London,2012/13,1x per month,88,15
E12000008,South East,2012/13,1x per month,88,17
E12000009,South West,2012/13,1x per month,87,17
E92000001,ENGLAND,2012/13,1x per month,86,15
E09000001,City of London,2012/13,1x per week,77,8
E09000002,Barking and Dagenham,2012/13,1x per week,75,7
E09000003,Barnet,2012/13,1x per week,81,6
E09000004,Bexley,2012/13,1x per week,76,3
E09000005,Brent,2012/13,1x per week,73,8
E09000006,Bromley,2012/13,1x per week,80,5
E09000007,Camden,2012/13,1x per week,88,11
E09000008,Croydon,2012/13,1x per week,80,6
E09000009,Ealing,2012/13,1x per week,78,10
E09000010,Enfield,2012/13,1x per week,71,6
E09000011,Greenwich,2012/13,1x per week,77,9
E09000012,Hackney,2012/13,1x per week,83,18
