LA code,Local Authority,Year,Frequency,Walking_%,Cycling_%
E09000013,Hammersmith and Fulham,2012/13,1x per week,85,19
E09000014,Haringey,2012/13,1x per week,83,10
E09000015,Harrow,2012/13,1x per week,78,5
E09000016,Havering,2012/13,1x per week,77,6
E09000017,Hillingdon,2012/13,1x per week,78,10
E09000018,Hounslow,2012/13,1x per week,80,8
E09000019,Islington,2012/13,1x per week,87,13
E09000020,Kensington and Chelsea,2012/13,1x per week,84,11
E09000021,Kingston upon Thames,2012/13,1x per week,82,12
E09000022,Lambeth,2012/13,1x per week,83,17
E09000023,Lewisham,2012/13,1x per week,80,10
E09000024,Merton,2012/13,1x per week,81,9
E09000025,Newham,2012/13,1x per week,74,4
E09000026,Redbridge,2012/13,1x per week,78,8
E09000027,Richmond upon Thames,2012/13,1x per week,89,21
E09000028,Southwark,2012/13,1x per week,85,16
E09000029,Sutton,2012/13,1x per week,79,5
E09000030,Tower Hamlets,2012/13,1x per week,84,10
E09000031,Waltham Forest,2012/13,1x per week,74,10
E09000032,Wandsworth,2012/13,1x per week,88,16
E09000033,Westminster,2012/13,1x per week,85,13
E12000001,North East,2012/13,1x per week,76,8
E12000002,North West,2012/13,1x per week,76,8
E12000003,Yorkshire and the Humber,2012/13,1x per week,77,9
E12000004,East Midlands,2012/13,1x per week,77,10
E12000005,West Midlands,2012/13,1x per week,74,8
E12000006,East of England,2012/13,1x per week,76,11
E12000007,London,2012/13,1x per week,80,10
E12000008,South East,2012/13,1x per week,78,11
E12000009,South West,2012/13,1x per week,78,11
E92000001,ENGLAND,2012/13,1x per week,77,10
E09000001,City of London,2012/13,3x per week,54,0
E09000002,Barking and Dagenham,2012/13,3x per week,56,3
E09000003,Barnet,2012/13,3x per week,58,2
E09000004,Bexley,2012/13,3x per week,55,1
E09000005,Brent,2012/13,3x per week,52,4
E09000006,Bromley,2012/13,3x per week,60,2
E09000007,Camden,2012/13,3x per week,69,9
E09000008,Croydon,2012/13,3x per week,56,1
E09000009,Ealing,2012/13,3x per week,57,7
E09000010,Enfield,2012/13,3x per week,46,2
E09000011,Greenwich,2012/13,3x per week,56,4
E09000012,Hackney,2012/13,3x per week,63,13
E09000013,Hammersmith and Fulham,2012/13,3x per week,66,12
E09000014,Haringey,2012/13,3x per week,61,6
E09000015,Harrow,2012/13,3x per week,56,4
E09000016,Havering,2012/13,3x per week,55,3
E09000017,Hillingdon,2012/13,3x per week,55,5
E09000018,Hounslow,2012/13,3x per week,55,5
E09000019,Islington,2012/13,3x per week,68,8
E09000020,Kensington and Chelsea,2012/13,3x per week,65,7
E09000021,Kingston upon Thames,2012/13,3x per week,58,5
E09000022,Lambeth,2012/13,3x per week,63,11
E09000023,Lewisham,2012/13,3x per week,61,5
E09000024,Merton,2012/13,3x per week,60,5
E09000025,Newham,2012/13,3x per week,58,2
E09000026,Redbridge,2012/13,3x per week,58,3
E09000027,Richmond upon Thames,2012/13,3x per week,64,11
E09000028,Southwark,2012/13,3x per week,69,12
E09000029,Sutton,2012/13,3x per week,56,2
E09000030,Tower Hamlets,2012/13,3x per week,67,5
E09000031,Waltham Forest,2012/13,3x per week,56,5
E09000032,Wandsworth,2012/13,3x per week,65,9
E09000033,Westminster,2012/13,3x per week,69,5
E12000001,North East,2012/13,3x per week,55,3
E12000002,North West,2012/13,3x per week,53,3
E12000003,Yorkshire and the Humber,2012/13,3x per week,54,4
E12000004,East Midlands,2012/13,3x per week,53,4
E12000005,West Midlands,2012/13,3x per week,52,3
E12000006,East of England,2012/13,3x per week,53,5
E12000007,London,2012/13,3x per week,59,5
E12000008,South East,2012/13,3x per week,54,5
E12000009,South West,2012/13,3x per week,56,5
E92000001,ENGLAND,2012/13,3x per week,55,4
E09000001,City of London,2012/13,5x per week,52,0
E09000002,Barking and Dagenham,2012/13,5x per week,48,2
E09000003,Barnet,2012/13,5x per week,46,1
E09000004,Bexley,2012/13,5x per week,44,0
E09000005,Brent,2012/13,5x per week,43,2
E09000006,Bromley,2012/13,5x per week,49,2
E09000007,Camden,2012/13,5x per week,60,5
E09000008,Croydon,2012/13,5x per week,46,1
E09000009,Ealing,2012/13,5x per week,47,4
E09000010,Enfield,2012/13,5x per week,39,1
E09000011,Greenwich,2012/13,5x per week,49,2
E09000012,Hackney,2012/13,5x per week,55,11
E09000013,Hammersmith and Fulham,2012/13,5x per week,54,7
E09000014,Haringey,2012/13,5x per week,49,4
E09000015,Harrow,2012/13,5x per week,46,2
E09000016,Havering,2012/13,5x per week,42,2
E09000017,Hillingdon,2012/13,5x per week,43,2
E09000018,Hounslow,2012/13,5x per week,46,3
E09000019,Islington,2012/13,5x per week,58,7
E09000020,Kensington and Chelsea,2012/13,5x per week,57,3
E09000021,Kingston upon Thames,2012/13,5x per week,49,3
E09000022,Lambeth,2012/13,5x per week,54,5
E09000023,Lewisham,2012/13,5x per week,50,2
E09000024,Merton,2012/13,5x per week,52,2
E09000025,Newham,2012/13,5x per week,47,1
E09000026,Redbridge,2012/13,5x per week,46,2
E09000027,Richmond upon Thames,2012/13,5x per week,53,8
E09000028,Southwark,2012/13,5x per week,60,8
E09000029,Sutton,2012/13,5x per week,44,1
E09000030,Tower Hamlets,2012/13,5x per week,52,3
E09000031,Waltham Forest,2012/13,5x per week,46,4
E09000032,Wandsworth,2012/13,5x per week,55,6
E09000033,Westminster,2012/13,5x per week,57,2
E12000001,North East,2012/13,5x per week,45,1
E12000002,North West,2012/13,5x per week,42,2
E12000003,Yorkshire and the Humber,2012/13,5x per week,43,2
E12000004,East Midlands,2012/13,5x per week,42,2
E12000005,West Midlands,2012/13,5x per week,40,2
E12000006,East of England,2012/13,5x per week,42,3
E12000007,London,2012/13,5x per week,49,3
E12000008,South East,2012/13,5x per week,43,3
E12000009,South West,2012/13,5x per week,45,3
E92000001,ENGLAND,2012/13,5x per week,44,3
E09000001,City of London,2013/14,1x per month,86,7
E09000002,Barking and Dagenham,2013/14,1x per month,82,7
E09000003,Barnet,2013/14,1x per month,90,12
E09000004,Bexley,2013/14,1x per month,86,9
E09000005,Brent,2013/14,1x per month,89,12
E09000006,Bromley,2013/14,1x per month,88,12
E09000007,Camden,2013/14,1x per month,93,15
E09000008,Croydon,2013/14,1x per month,87,7
E09000009,Ealing,2013/14,1x per month,87,13
E09000010,Enfield,2013/14,1x per month,86,8
E09000011,Greenwich,2013/14,1x per month,89,12
E09000012,Hackney,2013/14,1x per month,92,24
E09000013,Hammersmith and Fulham,2013/14,1x per month,93,24
E09000014,Haringey,2013/14,1x per month,92,15
E09000015,Harrow,2013/14,1x per month,85,5
E09000016,Havering,2013/14,1x per month,88,9
E09000017,Hillingdon,2013/14,1x per month,86,13
E09000018,Hounslow,2013/14,1x per month,88,15
E09000019,Islington,2013/14,1x per month,90,21
E09000020,Kensington and Chelsea,2013/14,1x per month,91,16
E09000021,Kingston upon Thames,2013/14,1x per month,90,21
E09000022,Lambeth,2013/14,1x per month,95,20
E09000023,Lewisham,2013/14,1x per month,88,13
E09000024,Merton,2013/14,1x per month,89,19
E09000025,Newham,2013/14,1x per month,87,7
E09000026,Redbridge,2013/14,1x per month,85,10
E09000027,Richmond upon Thames,2013/14,1x per month,91,32
E09000028,Southwark,2013/14,1x per month,92,16
E09000029,Sutton,2013/14,1x per month,87,12
E09000030,Tower Hamlets,2013/14,1x per month,89,19
E09000031,Waltham Forest,2013/14,1x per month,91,13
E09000032,Wandsworth,2013/14,1x per month,95,18
E09000033,Westminster,2013/14,1x per month,94,18
E12000001,North East,2013/14,1x per month,85,12
E12000002,North West,2013/14,1x per month,84,13
E12000003,Yorkshire and the Humber,2013/14,1x per month,85,13
E12000004,East Midlands,2013/14,1x per month,86,16
E12000005,West Midlands,2013/14,1x per month,84,12
E12000006,East of England,2013/14,1x per month,86,18
E12000007,London,2013/14,1x per month,89,14
E12000008,South East,2013/14,1x per month,87,18
E12000009,South West,2013/14,1x per month,87,18
E92000001,ENGLAND,2013/14,1x per month,86,15
E09000001,City of London,2013/14,1x per week,79,7
E09000002,Barking and Dagenham,2013/14,1x per week,75,5
E09000003,Barnet,2013/14,1x per week,83,7
E09000004,Bexley,2013/14,1x per week,75,5
E09000005,Brent,2013/14,1x per week,79,7
E09000006,Bromley,2013/14,1x per week,80,6
E09000007,Camden,2013/14,1x per week,91,9
E09000008,Croydon,2013/14,1x per week,81,4
E09000009,Ealing,2013/14,1x per week,80,9
E09000010,Enfield,2013/14,1x per week,80,5
E09000011,Greenwich,2013/14,1x per week,82,8
E09000012,Hackney,2013/14,1x per week,86,18
E09000013,Hammersmith and Fulham,2013/14,1x per week,90,20
E09000014,Haringey,2013/14,1x per week,85,11
E09000015,Harrow,2013/14,1x per week,79,3
E09000016,Havering,2013/14,1x per week,79,5
E09000017,Hillingdon,2013/14,1x per week,77,8
E09000018,Hounslow,2013/14,1x per week,80,11
E09000019,Islington,2013/14,1x per week,86,18
E09000020,Kensington and Chelsea,2013/14,1x per week,88,12
E09000021,Kingston upon Thames,2013/14,1x per week,86,14
E09000022,Lambeth,2013/14,1x per week,90,14
E09000023,Lewisham,2013/14,1x per week,83,9
E09000024,Merton,2013/14,1x per week,84,12
E09000025,Newham,2013/14,1x per week,81,4
E09000026,Redbridge,2013/14,1x per week,78,4
E09000027,Richmond upon Thames,2013/14,1x per week,85,24
E09000028,Southwark,2013/14,1x per week,86,11
E09000029,Sutton,2013/14,1x per week,81,10
E09000030,Tower Hamlets,2013/14,1x per week,80,13
E09000031,Waltham Forest,2013/14,1x per week,86,10
E09000032,Wandsworth,2013/14,1x per week,91,12
E09000033,Westminster,2013/14,1x per week,90,12
E12000001,North East,2013/14,1x per week,78,8
E12000002,North West,2013/14,1x per week,77,8
E12000003,Yorkshire and the Humber,2013/14,1x per week,79,8
E12000004,East Midlands,2013/14,1x per week,78,10
E12000005,West Midlands,2013/14,1x per week,76,7
E12000006,East of England,2013/14,1x per week,78,12
E12000007,London,2013/14,1x per week,83,10
E12000008,South East,2013/14,1x per week,79,11
E12000009,South West,2013/14,1x per week,80,12
E92000001,ENGLAND,2013/14,1x per week,79,9
E09000001,City of London,2013/14,3x per week,68,0
E09000002,Barking and Dagenham,2013/14,3x per week,57,2
E09000003,Barnet,2013/14,3x per week,64,1
E09000004,Bexley,2013/14,3x per week,58,2
E09000005,Brent,2013/14,3x per week,60,5
E09000006,Bromley,2013/14,3x per week,61,2
E09000007,Camden,2013/14,3x per week,77,6
E09000008,Croydon,2013/14,3x per week,59,3
E09000009,Ealing,2013/14,3x per week,63,4
E09000010,Enfield,2013/14,3x per week,60,2
E09000011,Greenwich,2013/14,3x per week,61,4
E09000012,Hackney,2013/14,3x per week,67,13
E09000013,Hammersmith and Fulham,2013/14,3x per week,73,11
E09000014,Haringey,2013/14,3x per week,65,5
E09000015,Harrow,2013/14,3x per week,56,1
E09000016,Havering,2013/14,3x per week,61,2
E09000017,Hillingdon,2013/14,3x per week,57,5
E09000018,Hounslow,2013/14,3x per week,61,5
E09000019,Islington,2013/14,3x per week,66,11
E09000020,Kensington and Chelsea,2013/14,3x per week,72,7
E09000021,Kingston upon Thames,2013/14,3x per week,66,7
E09000022,Lambeth,2013/14,3x per week,68,10
E09000023,Lewisham,2013/14,3x per week,66,4
E09000024,Merton,2013/14,3x per week,64,7
E09000025,Newham,2013/14,3x per week,64,2
E09000026,Redbridge,2013/14,3x per week,61,1
E09000027,Richmond upon Thames,2013/14,3x per week,67,11
E09000028,Southwark,2013/14,3x per week,62,7
E09000029,Sutton,2013/14,3x per week,59,5
E09000030,Tower Hamlets,2013/14,3x per week,65,6
E09000031,Waltham Forest,2013/14,3x per week,63,4
E09000032,Wandsworth,2013/14,3x per week,74,7
E09000033,Westminster,2013/14,3x per week,77,7
E12000001,North East,2013/14,3x per week,57,4
E12000002,North West,2013/14,3x per week,56,3
E12000003,Yorkshire and the Humber,2013/14,3x per week,58,4
E12000004,East Midlands,2013/14,3x per week,57,5
E12000005,West Midlands,2013/14,3x per week,55,3
E12000006,East of England,2013/14,3x per week,56,5
E12000007,London,2013/14,3x per week,64,5
E12000008,South East,2013/14,3x per week,57,5
E12000009,South West,2013/14,3x per week,59,5
E92000001,ENGLAND,2013/14,3x per week,58,4
E09000001,City of London,2013/14,5x per week,57,0
E09000002,Barking and Dagenham,2013/14,5x per week,48,2
E09000003,Barnet,2013/14,5x per week,53,1
E09000004,Bexley,2013/14,5x per week,45,1
E09000005,Brent,2013/14,5x per week,51,4
E09000006,Bromley,2013/14,5x per week,52,1
E09000007,Camden,2013/14,5x per week,67,4
E09000008,Croydon,2013/14,5x per week,45,1
E09000009,Ealing,2013/14,5x per week,52,3
E09000010,Enfield,2013/14,5x per week,46,1
E09000011,Greenwich,2013/14,5x per week,51,3
E09000012,Hackney,2013/14,5x per week,56,10
E09000013,Hammersmith and Fulham,2013/14,5x per week,61,7
E09000014,Haringey,2013/14,5x per week,54,2
E09000015,Harrow,2013/14,5x per week,46,1
E09000016,Havering,2013/14,5x per week,47,1
E09000017,Hillingdon,2013/14,5x per week,48,2
E09000018,Hounslow,2013/14,5x per week,54,4
E09000019,Islington,2013/14,5x per week,57,7
E09000020,Kensington and Chelsea,2013/14,5x per week,62,4
E09000021,Kingston upon Thames,2013/14,5x per week,52,7
E09000022,Lambeth,2013/14,5x per week,62,6
E09000023,Lewisham,2013/14,5x per week,55,3
E09000024,Merton,2013/14,5x per week,57,3
E09000025,Newham,2013/14,5x per week,51,1
E09000026,Redbridge,2013/14,5x per week,51,0
E09000027,Richmond upon Thames,2013/14,5x per week,57,7
E09000028,Southwark,2013/14,5x per week,54,5
E09000029,Sutton,2013/14,5x per week,47,3
E09000030,Tower Hamlets,2013/14,5x per week,57,4
E09000031,Waltham Forest,2013/14,5x per week,48,2
E09000032,Wandsworth,2013/14,5x per week,65,4
E09000033,Westminster,2013/14,5x per week,68,6
E12000001,North East,2013/14,5x per week,47,2
E12000002,North West,2013/14,5x per week,45,2
E12000003,Yorkshire and the Humber,2013/14,5x per week,48,2
E12000004,East Midlands,2013/14,5x per week,46,2
E12000005,West Midlands,2013/14,5x per week,44,1
E12000006,East of England,2013/14,5x per week,46,4
E12000007,London,2013/14,5x per week,54,3
E12000008,South East,2013/14,5x per week,46,3
E12000009,South West,2013/14,5x per week,48,3
E92000001,ENGLAND,2013/14,5x per week,47,3
E09000001,City of London,2014/15,1x per month,86,17
E09000002,Barking and Dagenham,2014/15,1x per month,82,9
E09000003,Barnet,2014/15,1x per month,90,7
E09000004,Bexley,2014/15,1x per month,86,11
E09000005,Brent,2014/15,1x per month,89,8
E09000006,Bromley,2014/15,1x per month,88,13
E09000007,Camden,2014/15,1x per month,93,19
E09000008,Croydon,2014/15,1x per month,87,13
E09000009,Ealing,2014/15,1x per month,87,15
E09000010,Enfield,2014/15,1x per month,86,8
E09000011,Greenwich,2014/15,1x per month,89,8
E09000012,Hackney,2014/15,1x per month,92,25
E09000013,Hammersmith and Fulham,2014/15,1x per month,93,20
E09000014,Haringey,2014/15,1x per month,92,14
E09000015,Harrow,2014/15,1x per month,85,8
E09000016,Havering,2014/15,1x per month,88,8
E09000017,Hillingdon,2014/15,1x per month,86,12
E09000018,Hounslow,2014/15,1x per month,88,16
E09000019,Islington,2014/15,1x per month,90,21
E09000020,Kensington and Chelsea,2014/15,1x per month,91,17
E09000021,Kingston upon Thames,2014/15,1x per month,90,20
E09000022,Lambeth,2014/15,1x per month,95,16
E09000023,Lewisham,2014/15,1x per month,88,16
E09000024,Merton,2014/15,1x per month,89,14
E09000025,Newham,2014/15,1x per month,87,6
E09000026,Redbridge,2014/15,1x per month,85,12
E09000027,Richmond upon Thames,2014/15,1x per month,91,33
E09000028,Southwark,2014/15,1x per month,92,20
E09000029,Sutton,2014/15,1x per month,87,9
E09000030,Tower Hamlets,2014/15,1x per month,89,22
E09000031,Waltham Forest,2014/15,1x per month,91,13
E09000032,Wandsworth,2014/15,1x per month,95,31
E09000033,Westminster,2014/15,1x per month,94,16
E12000001,North East,2014/15,1x per month,85,11
E12000002,North West,2014/15,1x per month,84,13
E12000003,Yorkshire and the Humber,2014/15,1x per month,85,14
E12000004,East Midlands,2014/15,1x per month,86,15
E12000005,West Midlands,2014/15,1x per month,84,13
E12000006,East of England,2014/15,1x per month,86,17
E12000007,London,2014/15,1x per month,89,15
E12000008,South East,2014/15,1x per month,87,17
E12000009,South West,2014/15,1x per month,87,17
E92000001,ENGLAND,2014/15,1x per month,86,15
E09000001,City of London,2014/15,1x per week,86,13
E09000002,Barking and Dagenham,2014/15,1x per week,72,5
E09000003,Barnet,2014/15,1x per week,85,5
E09000004,Bexley,2014/15,1x per week,81,8
E09000005,Brent,2014/15,1x per week,82,5
E09000006,Bromley,2014/15,1x per week,87,6
E09000007,Camden,2014/15,1x per week,88,12
E09000008,Croydon,2014/15,1x per week,84,9
E09000009,Ealing,2014/15,1x per week,83,10
E09000010,Enfield,2014/15,1x per week,81,6
E09000011,Greenwich,2014/15,1x per week,81,6
E09000012,Hackney,2014/15,1x per week,89,19
E09000013,Hammersmith and Fulham,2014/15,1x per week,88,13
E09000014,Haringey,2014/15,1x per week,81,10
E09000015,Harrow,2014/15,1x per week,77,5
E09000016,Havering,2014/15,1x per week,80,3
E09000017,Hillingdon,2014/15,1x per week,81,9
E09000018,Hounslow,2014/15,1x per week,85,12
E09000019,Islington,2014/15,1x per week,91,18
E09000020,Kensington and Chelsea,2014/15,1x per week,89,10
E09000021,Kingston upon Thames,2014/15,1x per week,86,13
E09000022,Lambeth,2014/15,1x per week,84,13
E09000023,Lewisham,2014/15,1x per week,84,13
E09000024,Merton,2014/15,1x per week,85,9
E09000025,Newham,2014/15,1x per week,78,4
E09000026,Redbridge,2014/15,1x per week,77,6
E09000027,Richmond upon Thames,2014/15,1x per week,91,23
E09000028,Southwark,2014/15,1x per week,89,13
E09000029,Sutton,2014/15,1x per week,86,6
E09000030,Tower Hamlets,2014/15,1x per week,88,15
E09000031,Waltham Forest,2014/15,1x per week,85,9
E09000032,Wandsworth,2014/15,1x per week,91,22
E09000033,Westminster,2014/15,1x per week,86,11
E12000001,North East,2014/15,1x per week,80,7
E12000002,North West,2014/15,1x per week,78,8
E12000003,Yorkshire and the Humber,2014/15,1x per week,79,9
E12000004,East Midlands,2014/15,1x per week,80,9
E12000005,West Midlands,2014/15,1x per week,78,8
E12000006,East of England,2014/15,1x per week,80,11
E12000007,London,2014/15,1x per week,84,10
E12000008,South East,2014/15,1x per week,82,11
E12000009,South West,2014/15,1x per week,82,10
E92000001,ENGLAND,2014/15,1x per week,81,9
E09000001,City of London,2014/15,3x per week,59,9
E09000002,Barking and Dagenham,2014/15,3x per week,59,3
E09000003,Barnet,2014/15,3x per week,65,3
E09000004,Bexley,2014/15,3x per week,61,3
E09000005,Brent,2014/15,3x per week,62,3
E09000006,Bromley,2014/15,3x per week,67,3
E09000007,Camden,2014/15,3x per week,73,5
E09000008,Croydon,2014/15,3x per week,67,2
E09000009,Ealing,2014/15,3x per week,65,5
E09000010,Enfield,2014/15,3x per week,61,4
E09000011,Greenwich,2014/15,3x per week,66,4
E09000012,Hackney,2014/15,3x per week,74,12
E09000013,Hammersmith and Fulham,2014/15,3x per week,77,7
E09000014,Haringey,2014/15,3x per week,65,6
E09000015,Harrow,2014/15,3x per week,60,3
E09000016,Havering,2014/15,3x per week,61,2
E09000017,Hillingdon,2014/15,3x per week,62,5
E09000018,Hounslow,2014/15,3x per week,66,5
E09000019,Islington,2014/15,3x per week,76,11
E09000020,Kensington and Chelsea,2014/15,3x per week,76,5
E09000021,Kingston upon Thames,2014/15,3x per week,68,8
E09000022,Lambeth,2014/15,3x per week,70,6
E09000023,Lewisham,2014/15,3x per week,71,6
E09000024,Merton,2014/15,3x per week,67,4
E09000025,Newham,2014/15,3x per week,62,1
E09000026,Redbridge,2014/15,3x per week,63,2
E09000027,Richmond upon Thames,2014/15,3x per week,73,10
