LA code,Local Authority,Year,Frequency,Walking_%,Cycling_%
E09000028,Southwark,2014/15,3x per week,78,8
E09000029,Sutton,2014/15,3x per week,68,3
E09000030,Tower Hamlets,2014/15,3x per week,74,8
E09000031,Waltham Forest,2014/15,3x per week,65,6
E09000032,Wandsworth,2014/15,3x per week,79,15
E09000033,Westminster,2014/15,3x per week,73,7
E12000001,North East,2014/15,3x per week,62,3
E12000002,North West,2014/15,3x per week,60,3
E12000003,Yorkshire and the Humber,2014/15,3x per week,61,4
E12000004,East Midlands,2014/15,3x per week,60,4
E12000005,West Midlands,2014/15,3x per week,59,3
E12000006,East of England,2014/15,3x per week,61,5
E12000007,London,2014/15,3x per week,68,5
E12000008,South East,2014/15,3x per week,62,5
E12000009,South West,2014/15,3x per week,62,5
E92000001,ENGLAND,2014/15,3x per week,62,4
E09000001,City of London,2014/15,5x per week,51,9
E09000002,Barking and Dagenham,2014/15,5x per week,50,2
E09000003,Barnet,2014/15,5x per week,54,2
E09000004,Bexley,2014/15,5x per week,51,2
E09000005,Brent,2014/15,5x per week,51,2
E09000006,Bromley,2014/15,5x per week,55,1
E09000007,Camden,2014/15,5x per week,66,4
E09000008,Croydon,2014/15,5x per week,51,1
E09000009,Ealing,2014/15,5x per week,56,3
E09000010,Enfield,2014/15,5x per week,51,1
E09000011,Greenwich,2014/15,5x per week,57,3
E09000012,Hackney,2014/15,5x per week,62,9
E09000013,Hammersmith and Fulham,2014/15,5x per week,68,5
E09000014,Haringey,2014/15,5x per week,54,4
E09000015,Harrow,2014/15,5x per week,50,1
E09000016,Havering,2014/15,5x per week,50,1
E09000017,Hillingdon,2014/15,5x per week,48,3
E09000018,Hounslow,2014/15,5x per week,55,3
E09000019,Islington,2014/15,5x per week,65,6
E09000020,Kensington and Chelsea,2014/15,5x per week,67,5
E09000021,Kingston upon Thames,2014/15,5x per week,59,3
E09000022,Lambeth,2014/15,5x per week,61,6
E09000023,Lewisham,2014/15,5x per week,61,5
E09000024,Merton,2014/15,5x per week,58,3
E09000025,Newham,2014/15,5x per week,56,0
E09000026,Redbridge,2014/15,5x per week,54,2
E09000027,Richmond upon Thames,2014/15,5x per week,64,5
E09000028,Southwark,2014/15,5x per week,68,3
E09000029,Sutton,2014/15,5x per week,56,1
E09000030,Tower Hamlets,2014/15,5x per week,68,8
E09000031,Waltham Forest,2014/15,5x per week,53,4
E09000032,Wandsworth,2014/15,5x per week,64,10
E09000033,Westminster,2014/15,5x per week,63,3
E12000001,North East,2014/15,5x per week,51,1
E12000002,North West,2014/15,5x per week,48,2
E12000003,Yorkshire and the Humber,2014/15,5x per week,50,3
E12000004,East Midlands,2014/15,5x per week,49,2
E12000005,West Midlands,2014/15,5x per week,48,2
E12000006,East of England,2014/15,5x per week,49,3
E12000007,London,2014/15,5x per week,57,3
E12000008,South East,2014/15,5x per week,50,3
E12000009,South West,2014/15,5x per week,50,3
E92000001,ENGLAND,2014/15,5x per week,51,3
E09000001,City of London,2015/16,1x per month,88,29
E09000002,Barking and Dagenham,2015/16,1x per month,68,10
E09000003,Barnet,2015/16,1x per month,76,11
E09000004,Bexley,2015/16,1x per month,80,10
E09000005,Brent,2015/16,1x per month,71,11
E09000006,Bromley,2015/16,1x per month,84,13
E09000007,Camden,2015/16,1x per month,83,18
E09000008,Croydon,2015/16,1x per month,76,10
E09000009,Ealing,2015/16,1x per month,76,16
E09000010,Enfield,2015/16,1x per month,75,11
E09000011,Greenwich,2015/16,1x per month,79,13
E09000012,Hackney,2015/16,1x per month,85,36
E09000013,Hammersmith and Fulham,2015/16,1x per month,86,37
E09000014,Haringey,2015/16,1x per month,81,19
E09000015,Harrow,2015/16,1x per month,78,10
E09000016,Havering,2015/16,1x per month,78,10
E09000017,Hillingdon,2015/16,1x per month,73,10
E09000018,Hounslow,2015/16,1x per month,71,13
E09000019,Islington,2015/16,1x per month,86,26
E09000020,Kensington and Chelsea,2015/16,1x per month,81,20
E09000021,Kingston upon Thames,2015/16,1x per month,82,21
E09000022,Lambeth,2015/16,1x per month,83,23
E09000023,Lewisham,2015/16,1x per month,80,18
E09000024,Merton,2015/16,1x per month,85,17
E09000025,Newham,2015/16,1x per month,76,12
E09000026,Redbridge,2015/16,1x per month,74,13
E09000027,Richmond upon Thames,2015/16,1x per month,86,32
E09000028,Southwark,2015/16,1x per month,82,26
E09000029,Sutton,2015/16,1x per month,78,16
E09000030,Tower Hamlets,2015/16,1x per month,81,24
E09000031,Waltham Forest,2015/16,1x per month,79,19
E09000032,Wandsworth,2015/16,1x per month,85,26
E09000033,Westminster,2015/16,1x per month,80,19
E12000001,North East,2015/16,1x per month,76,14
E12000002,North West,2015/16,1x per month,76,15
E12000003,Yorkshire and the Humber,2015/16,1x per month,75,15
E12000004,East Midlands,2015/16,1x per month,77,17
E12000005,West Midlands,2015/16,1x per month,74,13
E12000006,East of England,2015/16,1x per month,77,20
E12000007,London,2015/16,1x per month,79,17
E12000008,South East,2015/16,1x per month,80,19
E12000009,South West,2015/16,1x per month,79,20
E92000001,ENGLAND,2015/16,1x per month,77,17
E09000001,City of London,2015/16,1x per week,85,22
E09000002,Barking and Dagenham,2015/16,1x per week,61,7
E09000003,Barnet,2015/16,1x per week,69,8
E09000004,Bexley,2015/16,1x per week,70,7
E09000005,Brent,2015/16,1x per week,63,7
E09000006,Bromley,2015/16,1x per week,75,10
E09000007,Camden,2015/16,1x per week,78,14
E09000008,Croydon,2015/16,1x per week,67,8
E09000009,Ealing,2015/16,1x per week,70,11
E09000010,Enfield,2015/16,1x per week,67,7
E09000011,Greenwich,2015/16,1x per week,73,8
E09000012,Hackney,2015/16,1x per week,79,30
E09000013,Hammersmith and Fulham,2015/16,1x per week,81,27
E09000014,Haringey,2015/16,1x per week,75,14
E09000015,Harrow,2015/16,1x per week,68,8
E09000016,Havering,2015/16,1x per week,71,5
E09000017,Hillingdon,2015/16,1x per week,67,6
E09000018,Hounslow,2015/16,1x per week,64,9
E09000019,Islington,2015/16,1x per week,80,23
E09000020,Kensington and Chelsea,2015/16,1x per week,73,14
E09000021,Kingston upon Thames,2015/16,1x per week,75,15
E09000022,Lambeth,2015/16,1x per week,78,17
E09000023,Lewisham,2015/16,1x per week,73,13
E09000024,Merton,2015/16,1x per week,80,13
E09000025,Newham,2015/16,1x per week,68,8
E09000026,Redbridge,2015/16,1x per week,68,10
E09000027,Richmond upon Thames,2015/16,1x per week,78,27
E09000028,Southwark,2015/16,1x per week,76,22
E09000029,Sutton,2015/16,1x per week,71,9
E09000030,Tower Hamlets,2015/16,1x per week,76,17
E09000031,Waltham Forest,2015/16,1x per week,72,14
E09000032,Wandsworth,2015/16,1x per week,80,20
E09000033,Westminster,2015/16,1x per week,72,14
E12000001,North East,2015/16,1x per week,67,10
E12000002,North West,2015/16,1x per week,66,10
E12000003,Yorkshire and the Humber,2015/16,1x per week,66,11
E12000004,East Midlands,2015/16,1x per week,67,11
E12000005,West Midlands,2015/16,1x per week,64,9
E12000006,East of England,2015/16,1x per week,67,14
E12000007,London,2015/16,1x per week,72,13
E12000008,South East,2015/16,1x per week,70,13
E12000009,South West,2015/16,1x per week,70,14
E92000001,ENGLAND,2015/16,1x per week,68,12
E09000001,City of London,2015/16,3x per week,60,9
E09000002,Barking and Dagenham,2015/16,3x per week,32,3
E09000003,Barnet,2015/16,3x per week,42,3
E09000004,Bexley,2015/16,3x per week,44,1
E09000005,Brent,2015/16,3x per week,39,3
E09000006,Bromley,2015/16,3x per week,48,4
E09000007,Camden,2015/16,3x per week,55,8
E09000008,Croydon,2015/16,3x per week,48,5
E09000009,Ealing,2015/16,3x per week,47,7
E09000010,Enfield,2015/16,3x per week,41,3
E09000011,Greenwich,2015/16,3x per week,49,4
E09000012,Hackney,2015/16,3x per week,53,18
E09000013,Hammersmith and Fulham,2015/16,3x per week,59,16
E09000014,Haringey,2015/16,3x per week,50,9
E09000015,Harrow,2015/16,3x per week,40,4
E09000016,Havering,2015/16,3x per week,42,2
E09000017,Hillingdon,2015/16,3x per week,40,4
E09000018,Hounslow,2015/16,3x per week,39,3
E09000019,Islington,2015/16,3x per week,56,14
E09000020,Kensington and Chelsea,2015/16,3x per week,53,8
E09000021,Kingston upon Thames,2015/16,3x per week,50,9
E09000022,Lambeth,2015/16,3x per week,52,9
E09000023,Lewisham,2015/16,3x per week,53,9
E09000024,Merton,2015/16,3x per week,54,8
E09000025,Newham,2015/16,3x per week,43,4
E09000026,Redbridge,2015/16,3x per week,45,6
E09000027,Richmond upon Thames,2015/16,3x per week,55,13
E09000028,Southwark,2015/16,3x per week,55,16
E09000029,Sutton,2015/16,3x per week,44,4
E09000030,Tower Hamlets,2015/16,3x per week,53,11
E09000031,Waltham Forest,2015/16,3x per week,50,7
E09000032,Wandsworth,2015/16,3x per week,53,10
E09000033,Westminster,2015/16,3x per week,50,5
E12000001,North East,2015/16,3x per week,41,5
E12000002,North West,2015/16,3x per week,39,5
E12000003,Yorkshire and the Humber,2015/16,3x per week,40,5
E12000004,East Midlands,2015/16,3x per week,40,5
E12000005,West Midlands,2015/16,3x per week,38,4
E12000006,East of England,2015/16,3x per week,41,7
E12000007,London,2015/16,3x per week,48,7
E12000008,South East,2015/16,3x per week,44,6
E12000009,South West,2015/16,3x per week,43,6
E92000001,ENGLAND,2015/16,3x per week,42,6
E09000001,City of London,2015/16,5x per week,46,3
E09000002,Barking and Dagenham,2015/16,5x per week,24,2
E09000003,Barnet,2015/16,5x per week,30,2
E09000004,Bexley,2015/16,5x per week,34,1
E09000005,Brent,2015/16,5x per week,26,2
E09000006,Bromley,2015/16,5x per week,37,3
E09000007,Camden,2015/16,5x per week,42,6
E09000008,Croydon,2015/16,5x per week,38,3
E09000009,Ealing,2015/16,5x per week,37,4
E09000010,Enfield,2015/16,5x per week,30,2
E09000011,Greenwich,2015/16,5x per week,41,1
E09000012,Hackney,2015/16,5x per week,41,12
E09000013,Hammersmith and Fulham,2015/16,5x per week,49,11
E09000014,Haringey,2015/16,5x per week,35,5
E09000015,Harrow,2015/16,5x per week,31,2
E09000016,Havering,2015/16,5x per week,31,1
E09000017,Hillingdon,2015/16,5x per week,29,1
E09000018,Hounslow,2015/16,5x per week,27,2
E09000019,Islington,2015/16,5x per week,44,8
E09000020,Kensington and Chelsea,2015/16,5x per week,44,4
E09000021,Kingston upon Thames,2015/16,5x per week,38,7
E09000022,Lambeth,2015/16,5x per week,41,5
E09000023,Lewisham,2015/16,5x per week,40,6
E09000024,Merton,2015/16,5x per week,39,4
E09000025,Newham,2015/16,5x per week,34,3
E09000026,Redbridge,2015/16,5x per week,32,4
E09000027,Richmond upon Thames,2015/16,5x per week,40,8
E09000028,Southwark,2015/16,5x per week,41,12
E09000029,Sutton,2015/16,5x per week,33,2
E09000030,Tower Hamlets,2015/16,5x per week,40,9
E09000031,Waltham Forest,2015/16,5x per week,38,5
E09000032,Wandsworth,2015/16,5x per week,40,7
E09000033,Westminster,2015/16,5x per week,41,4
E12000001,North East,2015/16,5x per week,31,2
E12000002,North West,2015/16,5x per week,28,3
E12000003,Yorkshire and the Humber,2015/16,5x per week,30,3
E12000004,East Midlands,2015/16,5x per week,29,3
E12000005,West Midlands,2015/16,5x per week,28,2
E12000006,East of England,2015/16,5x per week,30,4
E12000007,London,2015/16,5x per week,36,4
E12000008,South East,2015/16,5x per week,32,4
E12000009,South West,2015/16,5x per week,32,3
E92000001,ENGLAND,2015/16,5x per week,31,3
E09000001,City of London,2016/17,1x per month,90,19
E09000002,Barking and Dagenham,2016/17,1x per month,71,10
E09000003,Barnet,2016/17,1x per month,76,12
E09000004,Bexley,2016/17,1x per month,80,14
E09000005,Brent,2016/17,1x per month,72,10
E09000006,Bromley,2016/17,1x per month,85,12
E09000007,Camden,2016/17,1x per month,84,21
E09000008,Croydon,2016/17,1x per month,75,10
E09000009,Ealing,2016/17,1x per month,78,18
E09000010,Enfield,2016/17,1x per month,76,9
E09000011,Greenwich,2016/17,1x per month,78,17
E09000012,Hackney,2016/17,1x per month,85,31
E09000013,Hammersmith and Fulham,2016/17,1x per month,83,26
E09000014,Haringey,2016/17,1x per month,83,18
E09000015,Harrow,2016/17,1x per month,74,14
E09000016,Havering,2016/17,1x per month,75,12
E09000017,Hillingdon,2016/17,1x per month,79,12
E09000018,Hounslow,2016/17,1x per month,72,13
E09000019,Islington,2016/17,1x per month,87,22
E09000020,Kensington and Chelsea,2016/17,1x per month,80,21
E09000021,Kingston upon Thames,2016/17,1x per month,83,24
E09000022,Lambeth,2016/17,1x per month,84,24
E09000023,Lewisham,2016/17,1x per month,78,16
E09000024,Merton,2016/17,1x per month,79,17
E09000025,Newham,2016/17,1x per month,77,16
E09000026,Redbridge,2016/17,1x per month,79,10
E09000027,Richmond upon Thames,2016/17,1x per month,88,30
E09000028,Southwark,2016/17,1x per month,82,27
E09000029,Sutton,2016/17,1x per month,80,8
E09000030,Tower Hamlets,2016/17,1x per month,82,25
E09000031,Waltham Forest,2016/17,1x per month,84,20
E09000032,Wandsworth,2016/17,1x per month,87,23
E09000033,Westminster,2016/17,1x per month,82,23
E12000001,North East,2016/17,1x per month,77,14
E12000002,North West,2016/17,1x per month,76,15
E12000003,Yorkshire and the Humber,2016/17,1x per month,76,15
E12000004,East Midlands,2016/17,1x per month,77,16
E12000005,West Midlands,2016/17,1x per month,74,13
E12000006,East of England,2016/17,1x per month,79,20
E12000007,London,2016/17,1x per month,80,17
E12000008,South East,2016/17,1x per month,81,19
E12000009,South West,2016/17,1x per month,81,20
E92000001,ENGLAND,2016/17,1x per month,78,17
E09000001,City of London,2016/17,1x per week,87,15
E09000002,Barking and Dagenham,2016/17,1x per week,62,7
E09000003,Barnet,2016/17,1x per week,67,8
E09000004,Bexley,2016/17,1x per week,71,9
E09000005,Brent,2016/17,1x per week,66,7
E09000006,Bromley,2016/17,1x per week,79,7
E09000007,Camden,2016/17,1x per week,78,15
E09000008,Croydon,2016/17,1x per week,69,8
E09000009,Ealing,2016/17,1x per week,69,11
E09000010,Enfield,2016/17,1x per week,66,6
E09000011,Greenwich,2016/17,1x per week,71,12
E09000012,Hackney,2016/17,1x per week,78,26
E09000013,Hammersmith and Fulham,2016/17,1x per week,77,19
E09000014,Haringey,2016/17,1x per week,76,15
E09000015,Harrow,2016/17,1x per week,67,6
E09000016,Havering,2016/17,1x per week,67,7
E09000017,Hillingdon,2016/17,1x per week,70,10
E09000018,Hounslow,2016/17,1x per week,67,10
E09000019,Islington,2016/17,1x per week,80,18
E09000020,Kensington and Chelsea,2016/17,1x per week,76,16
E09000021,Kingston upon Thames,2016/17,1x per week,77,17
E09000022,Lambeth,2016/17,1x per week,79,19
E09000023,Lewisham,2016/17,1x per week,70,13
E09000024,Merton,2016/17,1x per week,74,13
E09000025,Newham,2016/17,1x per week,70,9
E09000026,Redbridge,2016/17,1x per week,71,6
E09000027,Richmond upon Thames,2016/17,1x per week,83,22
E09000028,Southwark,2016/17,1x per week,75,21
E09000029,Sutton,2016/17,1x per week,67,6
E09000030,Tower Hamlets,2016/17,1x per week,77,19
E09000031,Waltham Forest,2016/17,1x per week,79,15
E09000032,Wandsworth,2016/17,1x per week,83,17
E09000033,Westminster,2016/17,1x per week,77,17
E12000001,North East,2016/17,1x per week,68,10
E12000002,North West,2016/17,1x per week,67,11
E12000003,Yorkshire and the Humber,2016/17,1x per week,67,10
E12000004,East Midlands,2016/17,1x per week,67,11
E12000005,West Midlands,2016/17,1x per week,64,9
E12000006,East of England,2016/17,1x per week,70,14
E12000007,London,2016/17,1x per week,73,13
E12000008,South East,2016/17,1x per week,72,13
E12000009,South West,2016/17,1x per week,72,14
E92000001,ENGLAND,2016/17,1x per week,69,12
E09000001,City of London,2016/17,3x per week,69,7
E09000002,Barking and Dagenham,2016/17,3x per week,37,3
E09000003,Barnet,2016/17,3x per week,46,2
E09000004,Bexley,2016/17,3x per week,42,3
E09000005,Brent,2016/17,3x per week,41,3
E09000006,Bromley,2016/17,3x per week,53,2
E09000007,Camden,2016/17,3x per week,56,8
E09000008,Croydon,2016/17,3x per week,42,3
E09000009,Ealing,2016/17,3x per week,40,5
E09000010,Enfield,2016/17,3x per week,40,3
E09000011,Greenwich,2016/17,3x per week,47,7
E09000012,Hackney,2016/17,3x per week,54,19
E09000013,Hammersmith and Fulham,2016/17,3x per week,57,13
E09000014,Haringey,2016/17,3x per week,48,8
E09000015,Harrow,2016/17,3x per week,43,3
E09000016,Havering,2016/17,3x per week,41,4
E09000017,Hillingdon,2016/17,3x per week,48,3
E09000018,Hounslow,2016/17,3x per week,39,5
E09000019,Islington,2016/17,3x per week,54,9
E09000020,Kensington and Chelsea,2016/17,3x per week,53,8
E09000021,Kingston upon Thames,2016/17,3x per week,50,7
E09000022,Lambeth,2016/17,3x per week,55,12
E09000023,Lewisham,2016/17,3x per week,47,8
E09000024,Merton,2016/17,3x per week,50,8
E09000025,Newham,2016/17,3x per week,44,4
E09000026,Redbridge,2016/17,3x per week,45,2
E09000027,Richmond upon Thames,2016/17,3x per week,54,10
E09000028,Southwark,2016/17,3x per week,53,13
E09000029,Sutton,2016/17,3x per week,45,2
E09000030,Tower Hamlets,2016/17,3x per week,53,13
E09000031,Waltham Forest,2016/17,3x per week,53,8
E09000032,Wandsworth,2016/17,3x per week,54,8
E09000033,Westminster,2016/17,3x per week,52,9
E12000001,North East,2016/17,3x per week,43,4
E12000002,North West,2016/17,3x per week,41,5
E12000003,Yorkshire and the Humber,2016/17,3x per week,41,5
E12000004,East Midlands,2016/17,3x per week,41,5
E12000005,West Midlands,2016/17,3x per week,39,4
E12000006,East of England,2016/17,3x per week,43,7
E12000007,London,2016/17,3x per week,48,7
E12000008,South East,2016/17,3x per week,44,6
E12000009,South West,2016/17,3x per week,45,7
E92000001,ENGLAND,2016/17,3x per week,43,6
E09000001,City of London,2016/17,5x per week,55,1
E09000002,Barking and Dagenham,2016/17,5x per week,26,2
E09000003,Barnet,2016/17,5x per week,33,1
E09000004,Bexley,2016/17,5x per week,30,2
E09000005,Brent,2016/17,5x per week,31,1
E09000006,Bromley,2016/17,5x per week,40,2
E09000007,Camden,2016/17,5x per week,42,4
E09000008,Croydon,2016/17,5x per week,32,0
E09000009,Ealing,2016/17,5x per week,30,3
E09000010,Enfield,2016/17,5x per week,29,1
E09000011,Greenwich,2016/17,5x per week,36,4
E09000012,Hackney,2016/17,5x per week,42,14
E09000013,Hammersmith and Fulham,2016/17,5x per week,43,9
E09000014,Haringey,2016/17,5x per week,38,6
E09000015,Harrow,2016/17,5x per week,34,1
E09000016,Havering,2016/17,5x per week,29,2
E09000017,Hillingdon,2016/17,5x per week,35,3
E09000018,Hounslow,2016/17,5x per week,28,3
E09000019,Islington,2016/17,5x per week,40,5
E09000020,Kensington and Chelsea,2016/17,5x per week,41,5
E09000021,Kingston upon Thames,2016/17,5x per week,37,6
E09000022,Lambeth,2016/17,5x per week,43,7
E09000023,Lewisham,2016/17,5x per week,37,5
E09000024,Merton,2016/17,5x per week,38,6
E09000025,Newham,2016/17,5x per week,34,3
E09000026,Redbridge,2016/17,5x per week,34,1
E09000027,Richmond upon Thames,2016/17,5x per week,40,6
E09000028,Southwark,2016/17,5x per week,43,8
E09000029,Sutton,2016/17,5x per week,35,2
E09000030,Tower Hamlets,2016/17,5x per week,39,7
E09000031,Waltham Forest,2016/17,5x per week,43,6
E09000032,Wandsworth,2016/17,5x per week,41,4
E09000033,Westminster,2016/17,5x per week,42,6
E12000001,North East,2016/17,5x per week,32,2
E12000002,North West,2016/17,5x per week,31,3
E12000003,Yorkshire and the Humber,2016/17,5x per week,30,3
E12000004,East Midlands,2016/17,5x per week,30,3
E12000005,West Midlands,2016/17,5x per week,28,3
E12000006,East of England,2016/17,5x per week,32,4
E12000007,London,2016/17,5x per week,36,4
E12000008,South East,2016/17,5x per week,32,4
E12000009,South West,2016/17,5x per week,33,4
E92000001,ENGLAND,2016/17,5x per week,32,3
